url,error,timestamp,file_id,original_name
https://docs.google.com/document/d/1J1ErH5n0py2rXocXtGnaZLGGNuuHIukQ0MnBin78-ZE/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 02:59:50,1J1ErH5n0py2rXocXtGnaZLGGNuuHIukQ0MnBin78-ZE,0806 to 02B. Ruoka
https://docs.google.com/document/d/1J1ErH5n0py2rXocXtGnaZLGGNuuHIukQ0MnBin78-ZE/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 02:59:54,1J1ErH5n0py2rXocXtGnaZLGGNuuHIukQ0MnBin78-ZE,0806 to 02B. Ruoka
https://docs.google.com/document/d/1InB_Bjk80Mj3qEDmr3TF5AA0x6JZOBk0fxe-9yQIyto/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:00:36,1InB_Bjk80Mj3qEDmr3TF5AA0x6JZOBk0fxe-9yQIyto,7.6. 02B. Ruoka
https://docs.google.com/document/d/1InB_Bjk80Mj3qEDmr3TF5AA0x6JZOBk0fxe-9yQIyto/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:00:40,1InB_Bjk80Mj3qEDmr3TF5AA0x6JZOBk0fxe-9yQIyto,7.6. 02B. Ruoka
https://docs.google.com/spreadsheets/d/14KB-DOBW_eQ8MCH1El32fqHmY13YvyoB_wxzoGnjO5c/edit?usp=sharing,File not found (404),2025-08-08 03:04:47,14KB-DOBW_eQ8MCH1El32fqHmY13YvyoB_wxzoGnjO5c,https://docs.google.com/spreadsheets/d/14KB-DOBW_eQ8MCH1El32fqHmY13YvyoB_wxzoGnjO5c/edit?usp=sharing
https://docs.google.com/document/d/1EAQHrs75qnA0z0nAQo8KJSRDvFPaGi0RK85Jy3Ob4xA/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:08:05,1EAQHrs75qnA0z0nAQo8KJSRDvFPaGi0RK85Jy3Ob4xA,1705 ke 05B Luonne
https://docs.google.com/document/d/1EAQHrs75qnA0z0nAQo8KJSRDvFPaGi0RK85Jy3Ob4xA/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:08:07,1EAQHrs75qnA0z0nAQo8KJSRDvFPaGi0RK85Jy3Ob4xA,1705 ke 05B Luonne
https://drive.google.com/file/d/1lOpQXMxduk8Q__VlKc87szdwY1EYpneZ/view?authuser=0&usp=classroom_web,File not found (404),2025-08-08 03:10:01,1lOpQXMxduk8Q__VlKc87szdwY1EYpneZ,lum.mod3.PNG
https://docs.google.com/document/d/1X57sgQSCvJyLpRTgSk9yaT77-0mZI9PRsYKvTo5MoNY/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:10:05,1X57sgQSCvJyLpRTgSk9yaT77-0mZI9PRsYKvTo5MoNY,11.5. 05A Terveys ja sairaus
https://docs.google.com/document/d/1X57sgQSCvJyLpRTgSk9yaT77-0mZI9PRsYKvTo5MoNY/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:10:09,1X57sgQSCvJyLpRTgSk9yaT77-0mZI9PRsYKvTo5MoNY,11.5. 05A Terveys ja sairaus
https://docs.google.com/document/d/1IB2WaK9G5WF_ZXZ4HT-SYSzKtAxVA5Jl_bWLEsyOovU/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:10:11,1IB2WaK9G5WF_ZXZ4HT-SYSzKtAxVA5Jl_bWLEsyOovU,1005 ke 05A Terveys ja sairaus
https://docs.google.com/document/d/1IB2WaK9G5WF_ZXZ4HT-SYSzKtAxVA5Jl_bWLEsyOovU/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:10:14,1IB2WaK9G5WF_ZXZ4HT-SYSzKtAxVA5Jl_bWLEsyOovU,1005 ke 05A Terveys ja sairaus
https://docs.google.com/document/d/1xBrIR4UfAVFOnNlx0reXDp3x57egDUhi1wYdc-cHjIg/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:12:17,1xBrIR4UfAVFOnNlx0reXDp3x57egDUhi1wYdc-cHjIg,4.5. to 04B. Liikenne
https://docs.google.com/document/d/1xBrIR4UfAVFOnNlx0reXDp3x57egDUhi1wYdc-cHjIg/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:12:21,1xBrIR4UfAVFOnNlx0reXDp3x57egDUhi1wYdc-cHjIg,4.5. to 04B. Liikenne
https://docs.google.com/document/d/1MV6iAekj5iHLwxl4pLtdJVIiF3Eh2kPX19vPKzUfeyU/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:12:59,1MV6iAekj5iHLwxl4pLtdJVIiF3Eh2kPX19vPKzUfeyU,3.5. 04B. Liikenne
https://docs.google.com/document/d/1MV6iAekj5iHLwxl4pLtdJVIiF3Eh2kPX19vPKzUfeyU/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:13:03,1MV6iAekj5iHLwxl4pLtdJVIiF3Eh2kPX19vPKzUfeyU,3.5. 04B. Liikenne
https://docs.google.com/spreadsheets/d/1ato_MOijP2wltM2WQCATVn9ll8KK0u22L1xJgoanavo/edit?usp=sharing,File not found (404),2025-08-08 03:13:46,1ato_MOijP2wltM2WQCATVn9ll8KK0u22L1xJgoanavo,https://docs.google.com/spreadsheets/d/1ato_MOijP2wltM2WQCATVn9ll8KK0u22L1xJgoanavo/edit?usp=sharing
https://docs.google.com/document/d/1askqbYMGaIS1F_yUE79GC5V3Ro7ji6WBbIE2DNeFumE/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:13:58,1askqbYMGaIS1F_yUE79GC5V3Ro7ji6WBbIE2DNeFumE,27.4. Puhutaan ulkonäöstä
https://docs.google.com/document/d/1askqbYMGaIS1F_yUE79GC5V3Ro7ji6WBbIE2DNeFumE/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:14:00,1askqbYMGaIS1F_yUE79GC5V3Ro7ji6WBbIE2DNeFumE,27.4. Puhutaan ulkonäöstä
https://docs.google.com/document/d/14LiWlPZa6ybwgiEbgkJ6Xh129qMxgXPOWR7-3HqxUeM/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:14:39,14LiWlPZa6ybwgiEbgkJ6Xh129qMxgXPOWR7-3HqxUeM,2604 ke 04A Ulkonäkö
https://docs.google.com/document/d/14LiWlPZa6ybwgiEbgkJ6Xh129qMxgXPOWR7-3HqxUeM/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:14:41,14LiWlPZa6ybwgiEbgkJ6Xh129qMxgXPOWR7-3HqxUeM,2604 ke 04A Ulkonäkö
https://docs.google.com/document/d/1uZ01jOjoHlFXVXZ8KtcTRXw-8SjRK_7m_MagwtQS3tM/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:25:16,1uZ01jOjoHlFXVXZ8KtcTRXw-8SjRK_7m_MagwtQS3tM,30.3. to 01B. Minä
https://docs.google.com/document/d/1uZ01jOjoHlFXVXZ8KtcTRXw-8SjRK_7m_MagwtQS3tM/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:25:20,1uZ01jOjoHlFXVXZ8KtcTRXw-8SjRK_7m_MagwtQS3tM,30.3. to 01B. Minä
https://docs.google.com/document/d/1hcp3TQrl8m2auiwpIGeXa2G9BcL-R1vX0Q_z5UNVjKg/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:27:20,1hcp3TQrl8m2auiwpIGeXa2G9BcL-R1vX0Q_z5UNVjKg,ke 29.3. 01B. Minä
https://docs.google.com/document/d/1hcp3TQrl8m2auiwpIGeXa2G9BcL-R1vX0Q_z5UNVjKg/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:27:24,1hcp3TQrl8m2auiwpIGeXa2G9BcL-R1vX0Q_z5UNVjKg,ke 29.3. 01B. Minä
https://docs.google.com/document/d/1WjXb5kIljDWu89AImlZA6sYWFdJz8JrCBdVuRMvPkVM/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:27:59,1WjXb5kIljDWu89AImlZA6sYWFdJz8JrCBdVuRMvPkVM,01B. Minä
https://docs.google.com/document/d/1WjXb5kIljDWu89AImlZA6sYWFdJz8JrCBdVuRMvPkVM/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:28:00,1WjXb5kIljDWu89AImlZA6sYWFdJz8JrCBdVuRMvPkVM,01B. Minä
https://docs.google.com/document/d/1aBdc2h3yIF0wnfFuSAFiyQ0g3nW_klUUmOjc8G9zvf0/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:32:17,1aBdc2h3yIF0wnfFuSAFiyQ0g3nW_klUUmOjc8G9zvf0,to 16.3. 01A. Minä
https://docs.google.com/document/d/1aBdc2h3yIF0wnfFuSAFiyQ0g3nW_klUUmOjc8G9zvf0/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:32:20,1aBdc2h3yIF0wnfFuSAFiyQ0g3nW_klUUmOjc8G9zvf0,to 16.3. 01A. Minä
https://docs.google.com/document/d/1EPCmBqv9Sad2csS7KUwTQOIDeJGIFK0CeaIo2CLCbIA/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:33:12,1EPCmBqv9Sad2csS7KUwTQOIDeJGIFK0CeaIo2CLCbIA,15.3. ke 01A. Minä
https://docs.google.com/document/d/1EPCmBqv9Sad2csS7KUwTQOIDeJGIFK0CeaIo2CLCbIA/edit?usp=classroom_web&authuser=0,File not found (404),2025-08-08 03:33:14,1EPCmBqv9Sad2csS7KUwTQOIDeJGIFK0CeaIo2CLCbIA,15.3. ke 01A. Minä
