content_signature,canonical_name,selected_file_id,duplicate_count,all_file_ids,original_names,original_urls,file_types
"117 lumikot 65 työ ja opiskelu yhdistetty opepptx|pdf,preentation",11.7. Lumikot 65 Työ ja opiskelu yhdistetty Ope.pptx.pdf,1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY,2,1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY | 1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY,11.7. Lumikot 65 Työ ja opiskelu yhdistetty Ope.pptx.pdf | 11.7. Lumikot 65 Työ ja opiskelu yhdistetty Ope.pptx.pdfPDF,https://drive.google.com/file/d/1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY/view?usp=drivesdk | https://drive.google.com/file/d/1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY/view?usp=drivesdk,pdf | preentation
"gmt20230711-060218_recording_1920x1020|preentation,video",GMT20230711-060218_Recording_1920x1020.mp4,1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS,2,1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS | 1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS,GMT20230711-060218_Recording_1920x1020.mp4 | GMT20230711-060218_Recording_1920x1020.mp4Video,https://drive.google.com/file/d/1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS/view?usp=drivesdk | https://drive.google.com/file/d/1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS/view?usp=drivesdk,video | preentation
"luento64terveys3 ope|pdf,preentation",Luento64terveys3 Ope.pdf,10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69,2,10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69 | 10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69,Luento64terveys3 Ope.pdf | Luento64terveys3 Ope.pdfPDF,https://drive.google.com/file/d/10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69/view?usp=drivesdk | https://drive.google.com/file/d/10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69/view?usp=drivesdk,pdf | preentation
"terveys3 lumikot|preentation,video","terveys3, lumikot.mp4",1ZHL-xWnvafujDhUv2MdrwQKLaYCYWbU5,2,1ZHL-xWnvafujDhUv2MdrwQKLaYCYWbU5 | 1ZHL-xWnvafujDhUv2MdrwQKLaYCYWbU5,"terveys3, lumikot.mp4 | terveys3, lumikot.mp4Video",https://drive.google.com/file/d/1ZHL-xWnvafujDhUv2MdrwQKLaYCYWbU5/view?usp=drivesdk | https://drive.google.com/file/d/1ZHL-xWnvafujDhUv2MdrwQKLaYCYWbU5/view?usp=drivesdk,video | preentation
httpsdocsgooglecomspreadsheetsd1rt6u251are1rd9ndiaybmjrbo8eq6tastea4s9e4zpoedituspsharing|preadheet,https://docs.google.com/spreadsheets/d/1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo/edit?usp=sharing,1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo,3,1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo | 1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo | 1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo,https://docs.google.com/spreadsheets/d/1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo/edit?usp=sharing | https://docs.google.com/spreadsheets/d/1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo/edit?usp=sharing | https://docs.google.com/spreadsheets/d/1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo/edit?usp=sharing | https://docs.google.com/spreadsheets/d/1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo/edit?usp=sharing | https://docs.google.com/spreadsheets/d/1RT6u251ArE1RD9ndIAYBMjRbo8eQ6TasTeA4s9e4zpo/edit?usp=sharing,preadheet
"luentodiat terveys class|pdf,preentation",LUENTODIAT Terveys CLASS.pdf,1lUSfeO2iJ5rgqQ0YaVrRhBKwLZK7-sxQ,2,1lUSfeO2iJ5rgqQ0YaVrRhBKwLZK7-sxQ | 1lUSfeO2iJ5rgqQ0YaVrRhBKwLZK7-sxQ,LUENTODIAT Terveys CLASS.pdf | LUENTODIAT Terveys CLASS.pdfPDF,https://drive.google.com/file/d/1lUSfeO2iJ5rgqQ0YaVrRhBKwLZK7-sxQ/view?usp=drivesdk | https://drive.google.com/file/d/1lUSfeO2iJ5rgqQ0YaVrRhBKwLZK7-sxQ/view?usp=drivesdk,pdf | preentation
"65 ja 66 työ ja opiskelu class|pdf,preentation",65 ja 66 Työ ja opiskelu CLASS.pdf,13el2jU5ao2JnUvhy5mmGwVhROllR_sGI,2,13el2jU5ao2JnUvhy5mmGwVhROllR_sGI | 13el2jU5ao2JnUvhy5mmGwVhROllR_sGI,65 ja 66 Työ ja opiskelu CLASS.pdf | 65 ja 66 Työ ja opiskelu CLASS.pdfPDF,https://drive.google.com/file/d/13el2jU5ao2JnUvhy5mmGwVhROllR_sGI/view?usp=drivesdk | https://drive.google.com/file/d/13el2jU5ao2JnUvhy5mmGwVhROllR_sGI/view?usp=drivesdk,pdf | preentation
"yhteiskunta class 1|pdf,preentation",yhteiskunta CLASS (1).pdf,1j4t8pwutYhOAI7qS_vEcF8AhP4crwoN0,2,1j4t8pwutYhOAI7qS_vEcF8AhP4crwoN0 | 1j4t8pwutYhOAI7qS_vEcF8AhP4crwoN0,yhteiskunta CLASS (1).pdf | yhteiskunta CLASS (1).pdfPDF,https://drive.google.com/file/d/1j4t8pwutYhOAI7qS_vEcF8AhP4crwoN0/view?usp=drivesdk | https://drive.google.com/file/d/1j4t8pwutYhOAI7qS_vEcF8AhP4crwoN0/view?usp=drivesdk,pdf | preentation
"spoken 20v2 incl spoken suomi-fiilis - google docs|google doc?,pdf,preentation",SPOKEN 20v2 incl. Spoken Suomi-fiilis - Google Docs.pdf,1E6VUDKWi4nkMNG3O5VHHhP7Od2cGDEyn,2,1E6VUDKWi4nkMNG3O5VHHhP7Od2cGDEyn | 1E6VUDKWi4nkMNG3O5VHHhP7Od2cGDEyn,SPOKEN 20v2 incl. Spoken Suomi-fiilis - Google Docs.pdf | SPOKEN 20v2 incl. Spoken Suomi-fiilis - Google Docs.pdfPDF,https://drive.google.com/file/d/1E6VUDKWi4nkMNG3O5VHHhP7Od2cGDEyn/view?usp=drivesdk | https://drive.google.com/file/d/1E6VUDKWi4nkMNG3O5VHHhP7Od2cGDEyn/view?usp=drivesdk,pdf | google doc? | preentation
"luento63terveys2 ope|pdf,preentation",Luento63terveys2 Ope.pdf,1ER-xafSNGm4ZF4I6KhWPFu61lS3WqpBT,2,1ER-xafSNGm4ZF4I6KhWPFu61lS3WqpBT | 1ER-xafSNGm4ZF4I6KhWPFu61lS3WqpBT,Luento63terveys2 Ope.pdf | Luento63terveys2 Ope.pdfPDF,https://drive.google.com/file/d/1ER-xafSNGm4ZF4I6KhWPFu61lS3WqpBT/view?usp=drivesdk | https://drive.google.com/file/d/1ER-xafSNGm4ZF4I6KhWPFu61lS3WqpBT/view?usp=drivesdk,pdf | preentation
