original_url,new_url,name,id,original_id,local_file,match_score,consolidated_from,file_types
https://docs.google.com/document/d/1PMxIB479N8JUGshXeXkNgHOfDD4qiGp5hEDUPZCPcUs/edit?usp=drivesdk,https://docs.google.com/document/d/120C64V4aPIIdNSTAeoHKUEGLJw-r5hDAhh1k20WxP-U/edit?usp=drivesdk,M4 Puhetaitojen kertaus,120C64V4aPIIdNSTAeoHKUEGLJw-r5hDAhh1k20WxP-U,1PMxIB479N8JUGshXeXkNgHOfDD4qiGp5hEDUPZCPcUs,M4 Puhetaitojen kertaus.docx,1.300,,"google docs, google doc?, preentation, document"
https://drive.google.com/file/d/1lW2FgBfwesE-ZzTZM_FEGLCod-pwc7-g/view?usp=drivesdk,https://drive.google.com/file/d/1U0bpJQr_vDmcoXuC9l4NKAwOTlTLwfib/view?usp=drivesdk,"puhekertaus, lumikot.mp4",1U0bpJQr_vDmcoXuC9l4NKAwOTlTLwfib,1lW2FgBfwesE-ZzTZM_FEGLCod-pwc7-g,"puhekertaus, lumikot.mp4",1.300,https://drive.google.com/file/d/1lW2FgBfwesE-ZzTZM_FEGLCod-pwc7-g/view?usp=drivesdk | https://drive.google.com/file/d/1lW2FgBfwesE-ZzTZM_FEGLCod-pwc7-g/view?usp=drivesdk,"video, preentation"
https://docs.google.com/document/d/1faUuq2iRh9UerojrSqPuamxyAVMl3zJI0qruX4Ho46U/edit?usp=drivesdk,https://docs.google.com/document/d/138Ex3srKQFjWwKOWTokTawPdjDUQpdwAoWMYK-M06uQ/edit?usp=drivesdk,"Lausetyypit, lumikot",138Ex3srKQFjWwKOWTokTawPdjDUQpdwAoWMYK-M06uQ,1faUuq2iRh9UerojrSqPuamxyAVMl3zJI0qruX4Ho46U,"Lausetyypit, lumikot.docx",1.300,,"google doc?, preentation, document"
https://docs.google.com/document/d/1faUuq2iRh9UerojrSqPuamxyAVMl3zJI0qruX4Ho46U/edit?usp=drivesdk,https://docs.google.com/document/d/1yW6dGSnMXppvgeaXkhchcFyLdntmhYEl-dBz9k6EKUc/edit?usp=drivesdk,"Lausetyypit, lumikot",1yW6dGSnMXppvgeaXkhchcFyLdntmhYEl-dBz9k6EKUc,1faUuq2iRh9UerojrSqPuamxyAVMl3zJI0qruX4Ho46U,"Lausetyypit, lumikot.docx",1.300,,"google docs, google doc?, preentation, document"
https://drive.google.com/file/d/1XVEO98TKZx-Hen9Zj3pNcn42HtEUPP43/view?usp=drivesdk,https://drive.google.com/file/d/1DrCsKZNvQuQPve2UhBM4JdE4shuPDo4l/view?usp=drivesdk,Luento50lausetyyppejä.pptx (1) (1).pdf,1DrCsKZNvQuQPve2UhBM4JdE4shuPDo4l,1XVEO98TKZx-Hen9Zj3pNcn42HtEUPP43,Luento50lausetyyppejä.pptx (1) (1).pdf,1.300,https://drive.google.com/file/d/1XVEO98TKZx-Hen9Zj3pNcn42HtEUPP43/view?usp=drivesdk | https://drive.google.com/file/d/1XVEO98TKZx-Hen9Zj3pNcn42HtEUPP43/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/1DermszTa0jv0jGRPTdRjWVPX8kXddfMv/view?usp=drivesdk,https://drive.google.com/file/d/12FkfCychLxnQUhw85FPu07u8hzAE4pn2/view?usp=drivesdk,Kirjoita kuvasta_lausetyypit - Google Docs (1).pdf,12FkfCychLxnQUhw85FPu07u8hzAE4pn2,1DermszTa0jv0jGRPTdRjWVPX8kXddfMv,Kirjoita kuvasta_lausetyypit - Google Docs (1).pdf,1.300,https://drive.google.com/file/d/1DermszTa0jv0jGRPTdRjWVPX8kXddfMv/view?usp=drivesdk | https://drive.google.com/file/d/1DermszTa0jv0jGRPTdRjWVPX8kXddfMv/view?usp=drivesdk,"pdf, google doc?, preentation"
https://drive.google.com/file/d/1TTWG4vZVyWooHEgsTi3ySSFLSuIfbteO/view?usp=drivesdk,https://drive.google.com/file/d/1gQetd6-awPn-fXQ6K_skmSF16iEbEfRH/view?usp=drivesdk,"lausetyypit, lumikot.mp4",1gQetd6-awPn-fXQ6K_skmSF16iEbEfRH,1TTWG4vZVyWooHEgsTi3ySSFLSuIfbteO,"lausetyypit, lumikot.mp4",1.300,https://drive.google.com/file/d/1TTWG4vZVyWooHEgsTi3ySSFLSuIfbteO/view?usp=drivesdk | https://drive.google.com/file/d/1TTWG4vZVyWooHEgsTi3ySSFLSuIfbteO/view?usp=drivesdk,"video, preentation"
https://docs.google.com/document/d/1e_Rgi5quc6C5yaDGIUXlrGgD68VTPqSb5szBhFuPeEE/edit?usp=drivesdk,https://docs.google.com/document/d/10S2jTTa7xlpICdI7Zi7YiiuDocC79RR6NkLE_2boPU8/edit?usp=drivesdk,"Tunneverbejä, lumikot",10S2jTTa7xlpICdI7Zi7YiiuDocC79RR6NkLE_2boPU8,1e_Rgi5quc6C5yaDGIUXlrGgD68VTPqSb5szBhFuPeEE,"Tunneverbejä, lumikot.docx",1.300,,"google doc?, preentation, document"
https://docs.google.com/document/d/1e_Rgi5quc6C5yaDGIUXlrGgD68VTPqSb5szBhFuPeEE/edit?usp=drivesdk,https://docs.google.com/document/d/1kCLcGRf4gurRtJ52SZoVVsKdRgDWqXgET9UYBKi9Bdw/edit?usp=drivesdk,"Tunneverbejä, lumikot",1kCLcGRf4gurRtJ52SZoVVsKdRgDWqXgET9UYBKi9Bdw,1e_Rgi5quc6C5yaDGIUXlrGgD68VTPqSb5szBhFuPeEE,"Tunneverbejä, lumikot.docx",1.300,,"google docs, google doc?, preentation, document"
https://drive.google.com/file/d/1pEsRh1Hj_mHtnyxJLDDJzLGRewF7YgvW/view?usp=drivesdk,https://drive.google.com/file/d/1dKGIpsyBWLQq0TNhTrIBHPWIa7Uzkc6f/view?usp=drivesdk,Luento49tunneverbejä.pptx (1).pdf,1dKGIpsyBWLQq0TNhTrIBHPWIa7Uzkc6f,1pEsRh1Hj_mHtnyxJLDDJzLGRewF7YgvW,Luento49tunneverbejä.pptx (1).pdf,1.300,https://drive.google.com/file/d/1pEsRh1Hj_mHtnyxJLDDJzLGRewF7YgvW/view?usp=drivesdk | https://drive.google.com/file/d/1pEsRh1Hj_mHtnyxJLDDJzLGRewF7YgvW/view?usp=drivesdk,"pdf, preentation"
